well_id,wellUse,As,Ca,Ra_Total,U
547,Unknown,20,8.765,0.59,2.5
550,Unknown,1.8,137.6,4.428,3.6
551,Unknown,0.52,2.4,0.13,2.5
552,Unknown,40,5.85,3.953,130
553,Unknown,0.5,16,1.304,2.5
554,Unknown,5.3,33,0.695,5.2
555,Unknown,6.1,20,1.603,7.8
556,Unknown,8,41,0.737,4
557,Unknown,7.5,4.9,1.248,5.7
565,Livestock,2,98,,1
566,Domestic,3,103.5,,1
567,Domestic,13,16.5,,3
569,Domestic,8.596178123,110,,100
570,Unknown,2.117878243,190,,7.686294178
571,Unknown,1,99,,1
574,Domestic,27.74031679,,,52.20423942
575,Domestic,109.7912709,,,21.42820064
576,Domestic,2,98,,4
577,Unknown,4,108,,1
584,Unknown,1,210,,6
586,Unknown,1,150,,1
587,Unknown,1,240,,1
589,Domestic,2.47549317,31.5,,7
590,Domestic,1.853227467,,,9.449216359
591,Livestock,3,48,,1
592,Unknown,1.8714458,100,,4
593,Unknown,1,290,,12
594,Domestic,1,190,,1
595,Livestock,1,59,,1
596,Unknown,4,130,,1
597,Unknown,1,400,,1
598,Unknown,1,49,,3
599,Livestock,1,15,,4
600,Domestic,1,26,,1
601,Livestock,1,55,,1
603,Domestic,9,170,0.118,4.5
604,Domestic,1,190,,1
605,Domestic,38.61310825,25,,9.434892715
606,Unknown,1.869367269,710,,26.79608293
607,Livestock,,,,
608,Livestock,1,66,,5
609,Domestic,1,110,,1
610,Unknown,1,61,,2
611,Unknown,2,63,,1
612,Unknown,1,100,,1
613,Domestic,1,150,,1
614,Unknown,1,150,,1
615,Unknown,1,370,,1
616,Domestic,1,150,,1
617,Domestic,1,180,,15
619,Domestic,1,100,,2
620,Unknown,,,,
621,Livestock,1,75,,1
623,Livestock,1,160,,2
624,Domestic,16,14,,1
625,Domestic,23.24889522,34,,1
628,Unknown,1,160,,2
629,Unknown,3,230,,2
630,Domestic,19.13652011,160,,30.53656107
633,Livestock,40.02272086,4,,11.34
634,Agriculture,2,60,,6
635,Livestock,18.92883136,11,,10.46506682
637,Domestic,1,120,,6
638,Domestic,2,83,,4
639,Livestock,1.5270394,230,,1
640,Domestic,2,360,,1
641,Unknown,3,180,,7
642,Livestock,17,54,,22
643,Livestock,2.305078165,37.6,0.316,4.639899244
644,Domestic,18,27.15,,3
645,Unknown,6,18,,1
646,Unknown,21,6.8,,1
647,Livestock,55,5,,15
648,Domestic,3,9.35,,9
649,Livestock,1,60,,1
650,Livestock,19.2878563,5.5,,11.1530006
651,Domestic,4,3.75,0.511,700
652,Unknown,1,58,,1
653,Municipal,1,35,,6
654,Domestic,21,2.8,,51
655,Unknown,1,52,,26
656,Unknown,1,58,,27
657,Unknown,1,60,,1
658,Unknown,1.53,,,7.992445351
659,Livestock,2,15,,14
660,Unknown,2,120,,14
661,Unknown,1,120,,28
662,Unknown,1,57,,1
663,Livestock,1,73,,1
664,Unknown,1,59,,1
665,Unknown,1,71,,1
668,Unknown,1,56,,1
670,Unknown,3,96,,3
671,Domestic,1,65,,1
672,Domestic,1,63,,1
673,Unknown,4,69,,1.142862707
674,Unknown,4,49,,1.299183469
675,Domestic,1,74,,1
676,Unknown,4,135.5,,3
678,Unknown,2,56,,1
679,Unknown,2,110,,16
680,Livestock,4,2.5,,7
681,Unknown,3,5,,4
682,Livestock,6,3.05,,2
683,Domestic,1,20,,1
684,Municipal,8,4.2,,3
685,Agriculture,5,1.95,,2
687,Livestock,2,38,,15
688,Livestock,2,82,,46
692,Other,,2,,
857,Livestock,,16,,
858,Livestock,,,,3.134328358
860,Livestock,,,,4.626865672
861,Livestock,,,,3.880597015
862,Livestock,,,,2.537313433
864,Livestock,,,,3.582089552
865,Livestock,,,,2.835820896
867,Livestock,,,,2.537313433
868,Livestock,,22,,
870,Livestock,,49,,0.567164179
872,Livestock,,,,1.417910448
873,Livestock,,,,2.835820896
875,Domestic,,35,,2.388059701
876,Livestock,,,,1.791044776
877,Livestock,,,,2.089552239
878,Livestock,,,,1.328358209
879,Livestock,,4.9,,
880,Livestock,,6.9,,
883,Municipal,,56,,
884,Livestock,,76,,
885,Livestock,,,,3.880597015
887,Livestock,,,0.45,94.02985075
891,Livestock,,,,1.343283582
892,Livestock,,43,,2.537313433
893,Livestock,,48,,0.701492537
894,Municipal,,120,,5.52238806
919,Other,2.89875931,,,2.113701249
920,Domestic,,113,,
940,Other,,,,
941,Domestic,3,10,,
946,Municipal,,34,,
947,Livestock,,244,,
950,Domestic,17,2.5,,
951,Unknown,21,3,,
952,Agriculture,12,3.4,,
953,Municipal,36,2.9,,
954,Domestic,12,3.095,,0.04
956,Municipal,,24,,
957,Agriculture,19,3.4,,
958,Domestic,15,3.1,,
959,Municipal,13,21.25,,
960,Municipal,,,,
961,Unknown,19,3,,
962,Other,6,3.6,,
963,Livestock,68.6,1.85,,0.395
964,Livestock,55,,,
965,Livestock,,,,
966,Livestock,6,180,,
967,Domestic,,3.65,,
977,Domestic,3.53138992,18.43007991,,1.603135354
980,Other,0.739635884,22.13238971,,0.657208982
981,Domestic,2.411414958,15.11899232,,0.357626908
987,Domestic,2.23238964,17.35487076,,0.766154807
988,Domestic,3.501129964,26.11053708,,0.675030133
989,Domestic,1.923606593,47.43333169,,1.604548004
993,Domestic,1.563534099,24.44342165,,1.475382268
996,Domestic,4.333772687,16.77862961,,0.726565038
998,Unknown,2.784473543,,,1.162353969
999,Domestic,1.059858,32.77388686,,2.64507327
1001,Domestic,2.006428727,18.60749788,,0.630943085
1002,Domestic,0.085240545,,,0.989007961
1010,Domestic,2.008170992,18.31558448,,0.740680729
1011,Domestic,1.003286549,2.484092937,,0.639583568
1013,Unknown,1.37408022,16.59577375,,0.351586017
1016,Domestic,1.43078533,21.6739636,,1.162752025
1025,Domestic,1.649069852,14.8539032,,0.684491633
1028,Domestic,2.221243662,,,0.913671368
1032,Domestic,1.053265751,19.5735396,,0.435049095
1033,Unknown,0.84624827,,,2.934678121
1035,Domestic,1.693711366,26.51052667,,5.066758241
1041,Unknown,1.927035203,14.28373137,,0.481906077
1042,Domestic,0.881578199,11.25312748,,6.59076635
1050,Unknown,,30,,
1080,Domestic,4.372068792,37.22821813,,0.824263815
1083,Domestic,,47,,
1084,Domestic,,,,
1085,Domestic,,,,
1092,Domestic,1.347313597,22.41932783,,0.824615822
1093,Domestic,1.494543942,,,0.67
1094,Domestic,1.485789272,,,0.55
1099,Livestock,1.312055034,27.30649937,,0.973040302
1100,Domestic,1.420938574,,,0.77
1102,Domestic,1.401018808,30.66844308,,0.919071815
1111,Livestock,1.87043353,27.8997912,,0.378649224
1117,Domestic,2.519389878,,,1.174826485
1150,Livestock,,,1.66,5.373134328
1180,Domestic,0.2,,,3.22
1181,Domestic,9.949842058,13.97695687,,3.093630159
1187,Other,1.555039976,20.36815287,,0.778705846
1193,Domestic,2.063817121,21.91894783,,0.758738913
1194,Domestic,1.208650361,16.51521355,,0.679147293
1195,Domestic,1.7541543,28.40778361,,4.622876379
1197,Domestic,1.620338005,30.65440129,,0.534255316
1198,Domestic,22.22698876,88.60620017,,3.233543266
1199,Domestic,2.589429437,19.63051176,,0.614704286
1201,Other,1.662643616,14.03509779,,1.564943877
1224,Domestic,4.143035125,28.35089292,,3.584880714
1225,Domestic,13.13490884,,,182.3732461
1226,Other,5.27612086,16.22322118,,2.872997651
1229,Domestic,2.3411231,37.69690935,,4.997810191
1230,Domestic,11.86804769,,,1.157639328
1239,Municipal,2.38,,,6.01
1240,Unknown,14.5494409,38.19532487,,20.9942577
1249,Unknown,,,,5.373134328
1263,Domestic,1,800,,7
1264,Municipal,1.44413852,,,6.03217715
1265,Domestic,6.111343852,,0.7,0.640153819
1267,Domestic,3.296158566,,,0.737787977
1276,Domestic,2.1750688,,,0.72501757
1277,Domestic,62.11937254,,,0.861248291
1278,Domestic,1.735597366,,,0.57074669
1281,Domestic,5.962556076,,,0.97138588
1284,Domestic,0.121203103,,,0.318301552
1289,Domestic,1,970,,1
1294,Domestic,0.473531871,,,0.2045567
1298,Livestock,26,8.7,0.524,1
1304,Livestock,0.199132584,,,0.19735617
1305,Other,,,,4.029850746
1319,Domestic,,,,4.47761194
1323,Domestic,,,,4.328358209
1325,Livestock,0.954806546,76.59521843,,4.328358209
1328,Livestock,,,,4.776119403
1348,Domestic,12.4108928,87.90649926,,5.18435294
1350,Domestic,6.767352174,87.47557593,,4.617574003
1355,Unknown,9.184983046,,,2.59
1371,Domestic,2.456941976,92.53779818,,4.925373134
1372,Livestock,,,,5.074626866
1381,Livestock,7.373903294,86.7132208,,3.880597015
1394,Domestic,3.885951948,80.41834653,,3.592795775
1396,Unknown,1.060209341,7.088345894,,5.399374111
1397,Livestock,11.95880395,92.3239617,,4.328358209
1403,Unknown,39.42769655,46.80020688,,2.007808241
